Security,Symbol,GICS Sector,GICS Sub Industry,Dividend Yield,Market Cap ($M),P/E Ratio
Hilton Worldwide Holdings Inc,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.008361204,21281.862841,28.13671875
HollyFrontier Corp,HFC,Energy,Oil & Gas Refining & Marketing,0.023973846,9540.392274,11.0979591837
Hologic,HOLX,Health Care,Health Care Equipment,0.0,13049.267074,19.8616071429
Home Depot,HD,Consumer Discretionary,Home Improvement Retail,0.022838137,203766.806822,24.0154362416
Honeywell Int'l Inc.,HON,Industrials,Industrial Conglomerates,0.023145862,104964.597,17.6025157233
Hormel Foods Corp.,HRL,Consumer Staples,Packaged Foods & Meats,0.020260491,22164.3371,23.3792134831
Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs,0.045740423,12978.672216,9.94034090909
HP Inc.,HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",0.028995476,34332.228605,10.8465346535
Humana Inc.,HUM,Health Care,Managed Health Care,0.00665159,41249.351078,21.4183381089
Huntington Bancshares,HBAN,Financials,Regional Banks,0.04132841,14183.696265,11.225
Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense,0.017022961,8680.203327,11.7604166667
IDEXX Laboratories,IDXX,Health Care,Health Care Equipment,0.0,18009.897594,50.8004926108
IHS Markit Ltd.,INFO,Industrials,Research & Consulting Services,0.0,20471.981533,27.0106382979
Illinois Tool Works,ITW,Industrials,Industrial Machinery,0.03001876,44212.548676,17.5722891566
Illumina Inc,ILMN,Health Care,Life Sciences Tools & Services,0.0,43200.36,49.2482876712
Ingersoll-Rand PLC,IR,Industrials,Industrial Machinery,0.022440987,23207.149433,17.6560150376
Intel Corp.,INTC,Information Technology,Semiconductors,0.026785715,214690.56,10.128540305
Intercontinental Exchange,ICE,Financials,Financial Exchanges & Data,0.012671595,43151.680507,22.3461538462
International Business Machines,IBM,Information Technology,IT Consulting & Other Services,0.04687617,121751.102305,9.6497829233
Incyte,INCY,Health Care,Biotechnology,0.0,17014.011433,474.058823529
International Paper,IP,Materials,Paper Packaging,0.04258037,19024.187236,9.35887096774
Interpublic Group,IPG,Communication Services,Advertising,0.037483265,8613.317115,12.9248554913
Intl Flavors & Fragrances,IFF,Materials,Specialty Chemicals,0.02119013,14692.129067,21.7710651828
Intuit Inc.,INTU,Information Technology,Internet Software & Services,0.008772749,55618.407932,46.4779735683
Intuitive Surgical Inc.,ISRG,Health Care,Health Care Equipment,0.0,58817.703971,54.3049568966
Invesco Ltd.,IVZ,Financials,Asset Management & Custody Banks,0.063091483,7823.608685,7.04963235294
